, opt_13b, , , , , , Geomean, , , , , 
, ant, tender, bit, giant, olive, ant, tender, bit, giant, olive, 
Time, 1.00000, 0.91667, 2.63195, 0.50000, 0.97917, 1.00000, 0.91667, 2.63195, 0.50000, 0.97917, , opt_13b, , , , , , Geomean, , , , , 
, ant, tender, bit, giant, olive, ant, tender, bit, giant, olive, 
Static, 0.38732, 0.35504, 1.01941, 0.19366, 0.37925, 0.38732, 0.35504, 1.01941, 0.19366, 0.37925, 
Dram, 0.12939, 0.11866, 0.25880, 0.09721, 0.12671, 0.51671, 0.47371, 1.27821, 0.29087, 0.50596, 
Buffer, 0.23521, 0.22189, 0.46244, 0.17872, 0.23188, 0.75192, 0.69560, 1.74065, 0.46959, 0.73784, 
Core, 0.24808, 0.22741, 1.16351, 0.19301, 0.24291, 1.00000, 0.92300, 2.90416, 0.66260, 0.98075, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, ant, tender, 
Time, 1.00000, 0.93782, 1.00000, 0.93782, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, ant, tender, 
Static, 0.39774, 0.37301, 0.39774, 0.37301, 
Dram, 0.10759, 0.10143, 0.50533, 0.47444, 
Buffer, 0.23992, 0.22984, 0.74525, 0.70428, 
Core, 0.25475, 0.23891, 1.00000, 0.94319, 
, opt_13b, , , , , , Geomean, , , , , 
, ant, tender, bit, giant, olive, ant, tender, bit, giant, olive, 
Time, 1.00000, 0.91667, 2.63195, 0.50000, 0.97917, 1.00000, 0.91667, 2.63195, 0.50000, 0.97917, , opt_13b, , , , , , Geomean, , , , , 
, ant, tender, bit, giant, olive, ant, tender, bit, giant, olive, 
Static, 0.37470, 0.34348, 0.98619, 0.18735, 0.36689, 0.37470, 0.34348, 0.98619, 0.18735, 0.36689, 
Dram, 0.12517, 0.11480, 0.25037, 0.09404, 0.12258, 0.49988, 0.45827, 1.23656, 0.28139, 0.48947, 
Buffer, 0.22755, 0.21466, 0.44737, 0.17290, 0.22432, 0.72742, 0.67293, 1.68393, 0.45429, 0.71380, 
Core, 0.27258, 0.24986, 1.12560, 0.18673, 0.26690, 1.00000, 0.92280, 2.80953, 0.64101, 0.98070, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, ant, tender, 
Time, 1.00000, 0.93782, 1.00000, 0.93782, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, ant, tender, 
Static, 0.39774, 0.37301, 0.39774, 0.37301, 
Dram, 0.10759, 0.10143, 0.50533, 0.47444, 
Buffer, 0.23992, 0.22984, 0.74525, 0.70428, 
Core, 0.25475, 0.23891, 1.00000, 0.94319, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, ant, tender, 
Time, 1.00000, 0.87565, 1.00000, 0.87565, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, ant, tender, 
Static, 0.39774, 0.34828, 0.39774, 0.34828, 
Dram, 0.10759, 0.09526, 0.50533, 0.44354, 
Buffer, 0.23992, 0.21977, 0.74525, 0.66331, 
Core, 0.25475, 0.22307, 1.00000, 0.88638, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 0.87565, 0.00065, 1.00000, 0.87565, 0.00065, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 0.34828, 0.00026, 0.39774, 0.34828, 0.00026, 
Dram, 0.10759, 0.09526, 0.00004, 0.50533, 0.44354, 0.00030, 
Buffer, 0.23992, 0.21977, 0.00001, 0.74525, 0.66331, 0.00031, 
Core, 0.25475, 0.22307, 0.00026, 1.00000, 0.88638, 0.00057, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 0.87565, 0.00032, 1.00000, 0.87565, 0.00032, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 0.34828, 0.00013, 0.39774, 0.34828, 0.00013, 
Dram, 0.10759, 0.09526, 0.00002, 0.50533, 0.44354, 0.00015, 
Buffer, 0.23992, 0.21977, 0.00000, 0.74525, 0.66331, 0.00016, 
Core, 0.25475, 0.22307, 0.00013, 1.00000, 0.88638, 0.00028, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 0.87565, 0.00032, 1.00000, 0.87565, 0.00032, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 0.34828, 0.00013, 0.39774, 0.34828, 0.00013, 
Dram, 0.10759, 0.09526, 0.00002, 0.50533, 0.44354, 0.00015, 
Buffer, 0.23992, 0.21977, 0.00000, 0.74525, 0.66331, 0.00016, 
Core, 0.25475, 0.22307, 0.00013, 1.00000, 0.88638, 0.00028, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 0.87565, 0.02073, 1.00000, 0.87565, 0.02073, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 0.34828, 0.00824, 0.39774, 0.34828, 0.00824, 
Dram, 0.10759, 0.09526, 0.00279, 0.50533, 0.44354, 0.01104, 
Buffer, 0.23992, 0.21977, 0.00752, 0.74525, 0.66331, 0.01856, 
Core, 0.25475, 0.22307, 0.00822, 1.00000, 0.88638, 0.02677, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 0.87565, 0.02073, 1.00000, 0.87565, 0.02073, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 0.34828, 0.00824, 0.39774, 0.34828, 0.00824, 
Dram, 0.10759, 0.09526, 0.00216, 0.50533, 0.44354, 0.01040, 
Buffer, 0.23992, 0.21977, 0.00748, 0.74525, 0.66331, 0.01788, 
Core, 0.25475, 0.22307, 0.00822, 1.00000, 0.88638, 0.02610, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 3.50259, 0.08290, 1.00000, 3.50259, 0.08290, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 1.39311, 0.03297, 0.39774, 1.39311, 0.03297, 
Dram, 0.10759, 0.69130, 0.01884, 0.50533, 2.08441, 0.05181, 
Buffer, 0.23992, 0.87645, 0.02951, 0.74525, 2.96086, 0.08132, 
Core, 0.25475, 0.89229, 0.03286, 1.00000, 3.85315, 0.11419, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 3.50259, 0.33161, 1.00000, 3.50259, 0.33161, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 1.39311, 0.13189, 0.39774, 1.39311, 0.13189, 
Dram, 0.10759, 0.69130, 0.06617, 0.50533, 2.08441, 0.19807, 
Buffer, 0.23992, 0.87645, 0.12172, 0.74525, 2.96086, 0.31978, 
Core, 0.25475, 0.89229, 0.13145, 1.00000, 3.85315, 0.45123, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 3.50259, 0.33161, 1.00000, 3.50259, 0.33161, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 1.39311, 0.13189, 0.39774, 1.39311, 0.13189, 
Dram, 0.10759, 0.69130, 0.04467, 0.50533, 2.08441, 0.17656, 
Buffer, 0.23992, 0.87645, 0.12034, 0.74525, 2.96086, 0.29690, 
Core, 0.25475, 0.89229, 0.13145, 1.00000, 3.85315, 0.42835, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Time, 1.00000, 14.01036, 5.30570, 1.00000, 14.01036, 5.30570, , llama_7b, , , , , , Geomean, , , , , 
, ant, tender, giant, ant, tender, giant, 
Static, 0.39774, 5.57244, 2.11027, 0.39774, 5.57244, 2.11027, 
Dram, 0.10759, 2.76520, 0.71475, 0.50533, 8.33764, 2.82502, 
Buffer, 0.23992, 3.50579, 1.92539, 0.74525, 11.84343, 4.75042, 
