Module,Frequency,N,M,Max Precision (bits),Min Precision (bits),Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
systolic_array,500000000,1,1,8,4, 1 ,64314,279960,344300
systolic_array,500000000,1,1,6,6, 1 ,28458,123882,152352

systolic_array,500000000,1,1,16,2, 1 ,274220,1166200,1440400
systolic_array,500000000,1,1,8,2, 1 ,39771,431907,435884


systolic_array,500000000,1,1,8,4, 1 ,15514,287607,313121

systolic_array,500000000,1,1,8,2, 1 ,22709,362214,384922
systolic_array,500000000,1,1,8,2, 1 ,39771,431907,435884
